Data	Max	MSE	Diag	Hessian	OBQAware
opt-125m/4.fc2	0.0020585444290190935	0.000703166238963604	0.0005118835833854973	0.0004320132138673216	0.00021933084644842893
opt-125m/4.self_attn.k_proj	0.2673817574977875	1.6145892143249512	0.2143157720565796	0.2253669649362564	0.11693938821554184
opt-125m/4.self_attn.out_proj	0.0001496869372203946	3.067021316383034e-05	3.11668700305745e-05	3.2147432648343965e-05	3.0041475838515908e-05
opt-125m/4.self_attn.q_proj	0.24523787200450897	1.0042328834533691	0.17942337691783905	0.20546352863311768	0.10575581341981888
opt-125m/4.self_attn.v_proj	0.020520823076367378	0.007699370384216309	0.010764099657535553	0.010179753415286541	0.007203987333923578
opt-125m/5.fc1	0.010892659425735474	0.0028373331297188997	0.003063150914385915	0.002840677509084344	0.002587821101769805
opt-125m/5.fc2	0.0032249940559267998	0.00018968917720485479	0.00017208819917868823	0.0001752019306877628	0.00016167749708984047
opt-125m/5.self_attn.k_proj	0.36374759674072266	1.540079116821289	0.24884410202503204	0.259275883436203	0.1420397311449051
opt-125m/5.self_attn.out_proj	0.00026086685829795897	5.3076091717230156e-05	5.380472794058733e-05	5.514100848813541e-05	5.180467269383371e-05
opt-125m/5.self_attn.q_proj	0.3454684317111969	0.980219304561615	0.21876901388168335	0.3035004734992981	0.137454554438591
opt-125m/5.self_attn.v_proj	0.02385028265416622	0.007317771669477224	0.008496447466313839	0.008314997889101505	0.00692511722445488
opt-125m/6.fc1	0.011873391456902027	0.0030236172024160624	0.0033952854573726654	0.0029407653491944075	0.002660861937329173
opt-125m/6.fc2	0.003791443072259426	0.00024045944155659527	0.000224097995669581	0.0002290978591190651	0.00020972829952370375
opt-125m/6.self_attn.k_proj	0.3504183292388916	1.4626156091690063	0.2572290301322937	0.27745020389556885	0.1609354466199875
opt-125m/6.self_attn.out_proj	0.0003579281910788268	7.222460408229381e-05	7.398859452223405e-05	7.474226731574163e-05	7.059099880279973e-05
opt-125m/6.self_attn.q_proj	0.29991385340690613	0.8024868965148926	0.19567720592021942	0.252645879983902	0.1314845234155655
opt-125m/6.self_attn.v_proj	0.02707727998495102	0.009501916356384754	0.010703596286475658	0.010708723217248917	0.009091324172914028
opt-125m/7.fc1	0.015043385326862335	0.0035136116202920675	0.00368118635378778	0.003613831475377083	0.003345786826685071
opt-125m/7.fc2	0.004568272735923529	0.0002903497370425612	0.00027352175675332546	0.00028046758961863816	0.00026160452398471534
opt-125m/7.self_attn.k_proj	0.4105241000652313	0.9715248942375183	0.23942814767360687	0.22697408497333527	0.17307591438293457
opt-125m/7.self_attn.out_proj	0.0004991994355805218	0.00011339102638885379	0.00011294500291114673	0.00011702027404680848	0.00010845522047020495
opt-125m/7.self_attn.q_proj	0.3260369598865509	0.46769022941589355	0.16137848794460297	0.1592683643102646	0.1291377693414688
opt-125m/7.self_attn.v_proj	0.027315055951476097	0.009439210407435894	0.009804029949009418	0.00973874144256115	0.008065293543040752
opt-125m/8.fc1	0.019657667726278305	0.0047780596651136875	0.004912005737423897	0.004929027985781431	0.004551132675260305
opt-125m/8.fc2	0.007858911529183388	0.0004622314590960741	0.00045166583731770515	0.0004624564608093351	0.0004333578108344227
opt-125m/8.self_attn.k_proj	0.42769649624824524	0.8243080973625183	0.26779040694236755	0.26389721035957336	0.19148778915405273
opt-125m/8.self_attn.out_proj	0.000849911302793771	0.00018395711958874017	0.0001879934425232932	0.00019060926570091397	0.00017995336384046823
opt-125m/8.self_attn.q_proj	0.36267077922821045	0.377849817276001	0.16514290869235992	0.15928097069263458	0.13922394812107086
opt-125m/8.self_attn.v_proj	0.03885341063141823	0.011058825068175793	0.012138865888118744	0.012147646397352219	0.010694748722016811
opt-125m/9.fc1	0.02439139224588871	0.006158422213047743	0.006290822755545378	0.006447058171033859	0.005931781139224768
opt-125m/9.fc2	0.009057851508259773	0.0006916523561812937	0.0006884544272907078	0.0007162277470342815	0.0006643137312494218
opt-125m/9.self_attn.k_proj	0.5089821219444275	0.5329956412315369	0.23437368869781494	0.22942626476287842	0.19804508984088898
opt-125m/9.self_attn.out_proj	0.0014303787611424923	0.00031429596128873527	0.0003219979989808053	0.0003274513583164662	0.0003069533559028059
opt-125m/9.self_attn.q_proj	0.3816845715045929	0.21879033744335175	0.132984921336174	0.13146524131298065	0.12059519439935684
opt-125m/9.self_attn.v_proj	0.04323214292526245	0.012319413013756275	0.012917894870042801	0.013062219135463238	0.011976501904428005
opt-350m/0.fc1	0.058057501912117004	0.04823143407702446	0.057217128574848175	0.042007967829704285	0.027158372104167938
opt-350m/0.fc2	0.0054540736600756645	0.0015602068742737174	0.0015239191707223654	0.0014872117899358273	0.001439469400793314
opt-350m/0.self_attn.k_proj	0.0002449396706651896	0.0061619579792022705	0.0023852596059441566	0.0003650495782494545	0.00020224788750056177
opt-350m/0.self_attn.out_proj	1.1466319449482398e-07	7.402996970995446e-08	5.429916072330343e-08	5.0266084627992313e-08	3.03172953408648e-08
opt-350m/0.self_attn.q_proj	0.0002048986207228154	0.005856068339198828	0.0012026663171127439	0.00021690853463951498	0.00016374175902456045
opt-350m/0.self_attn.v_proj	4.46128542535007e-05	2.7860773116117343e-05	3.434636892052367e-05	3.1838510039960966e-05	1.8757280486170202e-05
opt-350m/1.fc1	0.07453665137290955	0.03740619122982025	0.042960215359926224	0.03667130321264267	0.028877735137939453
